session_sk,session_id,customer_sk,started_at_sk,ended_at_sk,source_sk,device_sk
1,11000000000,791.0,399835,399846.0,1,1
2,11000000001,332.0,1177190,1177198.0,2,1
3,11000000002,,576185,576187.0,3,2
4,11000000003,771.0,473271,473311.0,1,2
5,11000000004,908.0,690768,690781.0,2,2
6,11000000005,1222.0,469792,469831.0,4,2
7,11000000006,490.0,750690,750712.0,1,2
8,11000000007,705.0,762856,762910.0,1,2
9,11000000008,1161.0,980385,980394.0,2,2
10,11000000009,841.0,525794,525807.0,1,2
11,11000000010,,1043965,1044002.0,4,2
12,11000000011,162.0,409290,409325.0,5,2
13,11000000012,,445722,,5,2
14,11000000013,1477.0,1248846,1248904.0,1,2
15,11000000014,,587742,587745.0,5,2
16,11000000015,60.0,1224160,1224216.0,1,1
17,11000000016,520.0,469498,469514.0,2,2
18,11000000017,,794715,794759.0,3,1
19,11000000018,,492457,492502.0,2,2
20,11000000019,,580646,580702.0,1,1
21,11000000020,575.0,566119,566156.0,2,2
22,11000000021,508.0,1048298,1048335.0,2,1
23,11000000022,,905715,905730.0,1,2
24,11000000023,,595140,595173.0,1,1
25,11000000024,99.0,674612,674648.0,2,2
26,11000000025,1277.0,1043285,1043306.0,1,2
27,11000000026,,355604,,2,2
28,11000000027,95.0,1056270,1056276.0,2,3
29,11000000028,1286.0,1002191,1002230.0,2,2
30,11000000029,1176.0,449118,449139.0,2,2
31,11000000030,1053.0,747993,748047.0,1,1
32,11000000031,290.0,653330,653340.0,1,2
33,11000000032,357.0,376307,376332.0,2,2
34,11000000033,391.0,359480,359498.0,1,2
35,11000000034,830.0,1227326,1227333.0,2,1
36,11000000035,1076.0,1171881,1171917.0,1,1
37,11000000036,,642170,642179.0,4,2
38,11000000037,622.0,891918,891966.0,3,1
39,11000000038,990.0,1064596,1064597.0,5,2
40,11000000039,902.0,1030086,1030106.0,2,1
41,11000000040,572.0,1173260,,2,2
42,11000000041,1088.0,384392,384400.0,2,2
43,11000000042,1101.0,803530,803578.0,4,2
44,11000000043,833.0,571443,571494.0,2,2
45,11000000044,,574798,574825.0,1,2
46,11000000045,1371.0,874358,874362.0,2,2
47,11000000046,1090.0,611852,611899.0,2,2
48,11000000047,250.0,950810,950814.0,2,2
49,11000000048,135.0,1195103,1195149.0,2,1
50,11000000049,334.0,825534,825561.0,2,2
51,11000000050,779.0,1195109,1195157.0,2,2
52,11000000051,1396.0,386262,386280.0,3,1
53,11000000052,,460745,460795.0,1,2
54,11000000053,,1131018,1131020.0,2,2
55,11000000054,732.0,1005972,1006022.0,2,2
56,11000000055,1267.0,1111783,1111797.0,1,1
57,11000000056,298.0,833206,833230.0,2,2
58,11000000057,933.0,773965,774008.0,1,2
59,11000000058,550.0,432476,432507.0,3,1
60,11000000059,,527771,527795.0,2,2
61,11000000060,342.0,1120620,1120654.0,5,2
62,11000000061,568.0,365157,,4,2
63,11000000062,498.0,691423,691451.0,3,3
64,11000000063,,942190,942217.0,1,2
65,11000000064,1109.0,1190893,1190906.0,2,1
66,11000000065,1211.0,640153,640173.0,1,2
67,11000000066,1443.0,873803,873852.0,2,2
68,11000000067,811.0,747527,747539.0,3,1
69,11000000068,1160.0,1200108,,2,1
70,11000000069,455.0,482309,482357.0,2,2
71,11000000070,601.0,583028,583084.0,2,2
72,11000000071,431.0,703469,703481.0,1,2
73,11000000072,,500821,500822.0,1,1
74,11000000073,80.0,1241817,1241865.0,1,2
75,11000000074,,460747,,4,2
76,11000000075,859.0,844418,844447.0,2,2
77,11000000076,,990905,990933.0,5,2
78,11000000077,,708070,,4,1
79,11000000078,233.0,426190,426222.0,1,2
80,11000000079,1176.0,424758,424811.0,2,1
81,11000000080,,1172637,1172672.0,2,2
82,11000000081,,1149442,1149465.0,5,1
83,11000000082,181.0,738597,738598.0,2,2
84,11000000083,1064.0,491853,491900.0,1,2
85,11000000084,166.0,1107363,1107391.0,2,2
86,11000000085,1230.0,571105,571107.0,4,2
87,11000000086,,514409,514415.0,4,3
88,11000000087,747.0,381178,381204.0,2,2
89,11000000088,927.0,352844,352877.0,1,3
90,11000000089,1009.0,920833,920893.0,2,2
91,11000000090,1334.0,1092477,,5,2
92,11000000091,51.0,745509,745532.0,3,1
93,11000000092,1436.0,776416,776441.0,4,2
94,11000000093,859.0,907207,907246.0,2,1
95,11000000094,1298.0,735228,735251.0,4,2
96,11000000095,51.0,836041,836050.0,2,2
97,11000000096,885.0,750083,750085.0,1,2
98,11000000097,505.0,595093,595134.0,2,2
99,11000000098,,401601,401627.0,1,2
100,11000000099,1.0,413171,413201.0,2,2
101,11000000100,781.0,876717,876763.0,2,1
102,11000000101,540.0,478665,478676.0,1,2
103,11000000102,,988834,988871.0,1,2
104,11000000103,,1150242,1150290.0,2,2
105,11000000104,,1196997,,1,1
106,11000000105,,1001841,1001884.0,4,2
107,11000000106,718.0,469851,469880.0,2,2
108,11000000107,,1103578,1103580.0,1,2
109,11000000108,937.0,955618,955647.0,5,2
110,11000000109,855.0,858592,858599.0,1,2
111,11000000110,1396.0,940848,940859.0,2,2
112,11000000111,465.0,1212718,1212770.0,3,2
113,11000000112,,1021933,1021970.0,5,2
114,11000000113,,998711,998742.0,2,2
115,11000000114,,495438,495480.0,1,3
116,11000000115,785.0,624249,624297.0,1,1
